app_slug,app_name,tone,prompt,alt_text,video_frame,video_prompt,reveal_video_prompt
generations,Generations,fun,"A visual timeline flowing left to right across the frame on deep navy #0a0e1a — each era represented by its iconic objects rendered as glowing miniatures: a rotary phone, a boombox, a flip phone, a smartphone, then holographic glasses. Each object glows in a different accent color — amber #f59e0b for Boomers, violet #8b5cf6 for Gen X, blue #3b82f6 for Millennials, pink #ec4899 for Gen Z, emerald #22c55e for Gen Alpha. Between them, speech bubbles with era-specific slang snippets in period-appropriate typography. 'GENERATIONS' is rendered across the top in a typeface that morphs — starting serif on the left, transitioning to sans-serif, ending in a rounded futuristic font on the right. Stylized illustration with 3D depth, 3:2 aspect ratio.","Neon timeline of generational icons from rotary phone to holographic glasses with speech bubbles",begin,"The timeline is composed. Each generational icon begins to animate in sequence left to right: the rotary phone dial spins in amber glow, the boombox pulses with violet audio waves, the flip phone opens and closes, the smartphone screen scrolls with pink light, the holographic glasses project emerald beams. Speech bubbles pop in above each icon with era-appropriate slang. The timeline connector line draws itself between icons with a traveling glow. The 'GENERATIONS' title shimmers as the morphing typeface subtly shifts. Each era's color pulses in rhythm.","Black screen. An amber glow appears on the far left — a rotary phone materializes, its dial spinning. A timeline connector line draws itself rightward. A violet boombox appears next, audio waves pulsing. The line extends further — a blue flip phone flips open. Then a pink smartphone lights up. Finally, emerald holographic glasses project beams. Speech bubbles pop in above each icon. The 'GENERATIONS' title writes itself across the top, morphing font style as it goes. The full neon timeline is revealed."
hspt-practice,HSPT Practice,serious,"A clean test-prep workspace: a dark desk surface with a Scantron-style answer sheet rendered in soft glowing amber #f59e0b lines, a sharpened pencil casting a long shadow, and a minimal digital timer display showing '25:00' in crisp blue #3b82f6 digits. The answer sheet has some bubbles filled in, creating a pattern. A subtle grid overlay suggests precision and structure. 'HSPT PRACTICE' is set in a sturdy slab-serif educational typeface, centered, in white with a slight emboss effect. The mood is focused and disciplined — game time. Clean studio lighting from above-right, dark navy #0a0e1a background, 3:2 aspect ratio.","Scantron answer sheet with pencil and bold HSPT Practice title on golden yellow background",begin,"Starting on the Scantron sheet — the pencil rolls slightly on the surface. Answer bubbles begin filling in one by one in a quick sequence, darkening as if being marked in real time by an invisible hand. The filled bubbles create a cascading pattern down the sheet. The 'HSPT PRACTICE' title holds steady in bold serif. The pencil casts a shifting shadow as if the light source is slowly moving. A faint timer ticks in the corner. The pace of bubble-filling accelerates, suggesting urgency. Test in progress.","Black screen. A bold golden yellow washes in from the center outward like a test sheet being placed down. The Scantron grid lines draw themselves across the surface. 'HSPT PRACTICE' stamps in at the center in bold serif with an emboss press effect. A sharpened pencil drops into frame casting a long shadow. Answer bubbles begin appearing in rows. A few fill in with confident marks. The full test-prep composition is set — game time."
hspt-tutor,HSPT Tutor,serious,"A warm, inviting study scene rendered in dark tones — an open textbook with pages softly illuminated by warm amber #f59e0b light from a desk lamp just out of frame. Above the book, a subtle holographic overlay shows an adaptive learning path: branching nodes in violet #8b5cf6 and emerald #22c55e connected by thin glowing lines, with some nodes brighter than others indicating mastery vs. weak spots. 'HSPT TUTOR' is set in a friendly but professional rounded sans-serif, centered above the learning path, in white with a soft violet accent glow. The feel is personal, adaptive, encouraging. Warm key light from the left, cool fill from the right, 3:2 aspect ratio.","Open textbook with holographic adaptive learning path nodes glowing above it",,,
lighthouse,Lighthouse,serious,"A dramatic coastal scene at night — a single lighthouse beam cutting through fog over dark water #0a0e1a. The beam is rendered in bright amber #f59e0b, sweeping across the frame, illuminating data points floating in the mist like buoys: Core Web Vitals scores, performance metrics, loading bars. The lighthouse itself is minimal and geometric, more icon than realistic. 'LIGHTHOUSE' is rendered in a tall condensed sans-serif along the beam of light, as if the beam itself spells the word. Cool blue #3b82f6 ambient light on the water, warm amber from the beam. Atmospheric and cinematic, 3:2 aspect ratio.","Lighthouse on rocky coast casting amber beam through fog with floating performance metrics",begin,"The lighthouse beam sweeps slowly — a warm amber arc rotating across the foggy coastal scene. As the beam passes through the mist, it illuminates floating data points: performance metrics flicker into visibility, loading bars fill, scores glow momentarily then fade back into fog as the beam moves past. The 'LIGHTHOUSE' title embedded in the beam rotates with it. Dark water ripples below with cool blue reflections. Fog drifts slowly across the frame. Each sweep reveals different metrics. The beam keeps turning, endlessly scanning.","Black screen. A distant amber glow pulses through darkness — a lighthouse beam emerging from fog. The beam sweeps across the frame, cutting through black mist. As it passes, it illuminates the rocky coastline below and data points floating in the fog — metrics, loading bars, scores flickering into visibility. Cool blue water reflections appear beneath. The 'LIGHTHOUSE' title materializes along the beam. Each sweep reveals more of the coastal scene until the full dramatic composition is visible through the clearing fog."
meeting-summaries,Meeting Summaries,serious,"A conference room table shot from directly above, dark surface #0a0e1a, with scattered meeting artifacts: a notebook with handwritten notes, coffee cups, a phone, pens — all rendered as faint ghostly outlines. Rising from the center of the table, a clean holographic summary document glows in soft white and amber #f59e0b — bulleted action items, speaker names, timestamps, all crisp and organized. The contrast between the messy physical artifacts and the clean digital summary tells the story. 'MEETING SUMMARIES' is set in a professional medium-weight sans-serif at the top of the holographic document, in white. Top-down shot, hologram casts soft light on the table surface, 3:2 aspect ratio.","Conference table with holographic summary display glowing amber among coffee cups and notebooks",begin,"The holographic summary on the conference table pulses gently with amber light. Action items on the display check themselves off one by one. Speaker engagement bars animate — filling and updating. The 'TIME REMAINING' counter ticks down. Coffee steam wisps rise from the cups on the dark table. The notebook pages flutter slightly. The phone screen briefly illuminates with a notification then dims. The hologram casts shifting warm light patterns across the table surface. A new action item types itself into the list. The meeting is live.","Black screen from above. The dark conference table surface fades in below. Coffee cups appear at the edges. A notebook and pen materialize. A phone slides into view. Then a point of amber light appears at the center of the table — the holographic summary display powers on, expanding upward. 'MEETING SUMMARIES' types in at the top. Action items populate the display. Speaker engagement bars fill. The hologram casts warm amber light across the table artifacts. The full overhead scene composes itself."
proper-wine-pour,Proper Wine Pour,fun,"A dramatic close-up of red wine being poured into a crystal glass, frozen mid-pour with the liquid caught in a beautiful arc. The wine is lit from behind with warm amber #f59e0b light creating a glowing ruby translucency. Tiny measurement lines are subtly etched into the glass like a scientific instrument. Behind the glass, a soft bokeh of restaurant lights in amber and warm white. A few drops of wine are suspended in air, frozen in time. 'PROPER WINE POUR' is rendered in an elegant thin serif typeface below the glass, in cream white with wine-red #8b1a1a accents. The mood is refined but approachable — sommelier meets scientist. Editorial food photography lighting, shallow depth of field, 3:2 aspect ratio.","Red wine mid-pour into crystal glass with warm restaurant bokeh and elegant serif title",begin,"Wine flows from the bottle in a rich ruby stream — slow motion, catching warm amber backlight that makes the liquid glow translucent. The wine level in the glass rises slowly, swirling gently as it fills. Restaurant bokeh lights shift softly in the warm background. The pour arc catches light, individual droplets separating and drifting downward in extreme slow motion. The 'PROPER WINE POUR' title holds in elegant serif at the bottom right. The pour slows as it approaches the perfect level. Refined, cinematic, warm.","Black screen. Warm amber restaurant bokeh lights fade in softly from the background — blurred, inviting. The crystal glass rises into frame from below, its measurement etchings catching the light. A wine bottle tilts in from the top. The first ruby drop falls in slow motion, hitting the glass with a tiny splash. The pour begins — a rich red arc catching backlit amber glow. 'PROPER WINE POUR' writes itself in elegant serif. The wine fills as the full editorial composition reveals."
roblox-dances,Roblox Dances,fun,"A vibrant dance floor scene rendered in Roblox-inspired blocky 3D aesthetic — colorful avatar characters frozen mid-dance-move in dynamic poses (backflip, robot, floss, moonwalk) on a glowing neon dance floor. The floor tiles pulse in pink #ec4899, violet #8b5cf6, and cyan #22d3ee. Disco-style light beams cut through atmospheric haze from above. The characters cast long colorful shadows. 'ROBLOX DANCES' is rendered in a bold rounded block font that matches the Roblox aesthetic, in white with a neon pink glow effect and slight 3D depth. Energy and movement everywhere. Stylized 3D game-art render, wide shot, 3:2 aspect ratio.","Pixel-art characters dancing on neon disco floor with colorful spotlight beams",begin,"The pixel-art characters spring to life on the neon dance floor — each performing their dance move in loop. One hits the floss, another does the robot, one breaks into a spin, the fourth grooves side to side. The disco floor tiles pulse in alternating patterns of pink, violet, and cyan, synced to an implied beat. Spotlight beams sweep overhead through the purple haze. The characters' pixel shadows bounce with the floor pulses. 'ROBLOX DANCES' bounces gently with the rhythm. Pure retro-game dance party energy.","Black screen. A single neon pink floor tile lights up at center. Then another in cyan beside it. Tiles cascade outward in a pulsing wave — pink, violet, cyan — building the dance floor from the center. Spotlight beams snap on from above cutting through haze. Pixel-art characters drop in one by one, landing in dance poses — each starting their move as they arrive. 'ROBLOX DANCES' bounces in from above in block letters with a neon glow. The full dance party assembles and the beat drops."
sales,Sales,serious,"A minimal dark workspace #0a0e1a with a single glowing pipeline visualization — stages flowing left to right as translucent amber #f59e0b and emerald #22c55e bars of increasing width, representing leads narrowing to deals. Dollar signs and deal values float subtly above each stage in thin white type. The pipeline casts warm reflections on the dark surface below. 'SALES' is set in a bold condensed sans-serif, large, in bright white with an amber gradient on the bottom edge. Clean, confident, money-focused. The composition is wide and horizontal, emphasizing the pipeline flow. Photorealistic 3D render, studio lighting, 3:2 aspect ratio.","Glowing sales pipeline visualization with amber and emerald stages on dark surface",,,
sentiment,Sentiment,serious,"An abstract mood landscape on deep navy #0a0e1a — a rolling waveform that shifts color as it moves across the frame: deep blue #3b82f6 for calm sections, amber #f59e0b for energized peaks, violet #8b5cf6 for tension valleys, and emerald #22c55e for positive plateaus. Small avatar circles dot along the wave at various points, each with a subtle expression indicator. The wave has a soft volumetric glow, like northern lights laid on their side. 'SENTIMENT' is set in a humanist sans-serif, centered, in white — the letters subtly shift color to match the wave section beneath them. Atmospheric and empathetic. Photorealistic 3D render, 3:2 aspect ratio.","Colorful mood waveform landscape with emoji faces at peaks and valleys on dark background",begin,"The mood waveform undulates continuously — rolling like a living landscape across the dark background. Colors shift fluidly: a calm blue section rises into an amber energized peak, dips into a violet tension valley, then levels into an emerald positive plateau. The emoji faces at each peak and valley subtly shift expression as the wave moves beneath them. The volumetric glow breathes with the wave — brightening at peaks, dimming in valleys. The 'SENTIMENT' title letters shift color in real time, matching the wave section below. Atmospheric and mesmerizing.","Black screen. A thin blue line appears at the left edge and begins drawing itself across the frame like a heartbeat monitor. As it moves right, it rises into an amber peak — the line thickens and glows with volumetric light. It dips into a violet valley, then rises to an emerald plateau. Emoji faces appear at each peak and valley. The waveform fills the frame with layered color — blue, amber, violet, emerald. 'SENTIMENT' fades in at center, its letters shifting color. The full mood landscape breathes to life."
slang-translator,Slang Translator,fun,"A split-screen composition on dark navy #0a0e1a — left side glows in pink #ec4899 with Gen Alpha slang ('no cap', 'slay', 'bussin') in a playful rounded font, right side glows in amber #f59e0b with Gen X translations ('for real', 'awesome', 'really good') in a clean retro font. Between them, animated translation arrows bounce back and forth in white, with a glowing decoder ring or Rosetta Stone motif at the center. 'SLANG TRANSLATOR' is rendered across the bottom in a font that's half-bubbly half-retro — the first word playful, the second word structured. The mood is fun, bridging two worlds. Bold graphic design, 3:2 aspect ratio.","Split screen with pink Gen Alpha slang and amber Gen X translations divided by decoder motif",,,
soccer-training,Soccer Training,fun,"A dramatic low-angle shot of a soccer ball on a training field at dusk, with agility cones and ladder drills visible in the background. The grass is deep green lit by warm amber #f59e0b floodlights from behind, creating long shadows and God-rays through kicked-up dust particles. Speed lines and motion trails in cyan #22d3ee trace the path of recent drills across the field. The ball is in sharp focus with everything else falling into cinematic bokeh. 'SOCCER TRAINING' is stamped across the bottom in a bold athletic sans-serif with a slight italic lean, white with an emerald #22c55e underline accent. Sports documentary photography, golden hour, 3:2 aspect ratio.","Soccer ball on training field at dusk with agility cones and amber floodlight God-rays",,,
sprint-planning,Sprint Planning,serious,"A top-down view of a dark kanban-style board #0a0e1a with three columns — 'To Do', 'In Progress', 'Done' — rendered as translucent frosted-glass lanes. Minimal task cards in amber #f59e0b, violet #8b5cf6, and emerald #22c55e glow softly within each column, some with tiny avatar circles and story point badges. Thin connecting lines trace dependencies between cards. The board floats above a dark surface with subtle reflections. 'SPRINT PLANNING' is set in a geometric mono-width sans-serif at the top, in white with a subtle blue #3b82f6 tint. The mood is organized calm before execution. Photorealistic 3D render, top-down angle, 3:2 aspect ratio.","Top-down kanban board with glowing task cards in amber violet and emerald on dark surface",,,
standup,Standup,serious,"Three translucent message bubbles stacked vertically on dark navy #0a0e1a, each from a different source — one with a Slack icon glow in violet #8b5cf6, one with a GitHub icon glow in emerald #22c55e, one with a workspace icon glow in amber #f59e0b. Each bubble contains abstracted standup text: 'Yesterday...', 'Today...', 'Blockers...' in soft white type. The bubbles overlap slightly and cast colored light on each other. 'STANDUP' is set in a friendly medium-weight sans-serif below the bubbles, in white. The mood is efficient morning ritual — quick, organized, done. Clean studio lighting, centered composition, 3:2 aspect ratio.","Three stacked message bubbles in violet emerald and amber with standup text on dark background",,,
summaries,Summaries,serious,"Layers of translucent documents stacked in perspective on dark navy #0a0e1a — a Zoom transcript, a Slack thread, a Jira ticket — each rendered as a frosted-glass panel with faint text. From these layers, glowing amber #f59e0b extract lines rise and converge into a single clean summary card at the top of the frame, brighter and crisper than the source documents. The convergence creates a funnel-of-light effect. 'SUMMARIES' is set in a refined sans-serif on the summary card, in white. The visual metaphor is clear: chaos distilled into clarity. Photorealistic 3D render, slight perspective tilt, 3:2 aspect ratio.","Conference table with holographic meeting summary showing action items and speaker engagement bars",begin,"The holographic summary on the conference table pulses with amber light. Action items check themselves off one by one. Speaker engagement bars animate and update in real time. The time remaining counter ticks down. Coffee steam rises from cups on the dark table. The notebook pages flutter. The phone screen briefly lights up then dims. The hologram casts shifting warm patterns across the table. New action items type themselves into the list. A living meeting in progress.","Black screen from above. The dark conference table surface emerges. Coffee cups materialize at the edges. A notebook and pen appear. A phone slides into view. An amber light point appears at center — the holographic summary powers on, expanding upward with action items, speaker bars, and timestamps populating. The hologram casts warm light across the table artifacts. The full overhead meeting scene composes itself from darkness."
superstars,Superstars,fun,"A dramatic spotlight scene — a single bright amber #f59e0b spotlight beam cuts down from above onto a dark stage #0a0e1a, illuminating a pedestal or podium where a holographic athlete profile card rotates slowly — showing stats, achievements, a silhouette portrait. Secondary spotlights in violet #8b5cf6 and blue #3b82f6 flank from the sides. Star particles and lens flares drift through the beams. 'SUPERSTARS' is rendered in a bold display serif with dramatic contrast (thick/thin strokes), in bright white with gold #fbbf24 metallic reflections. The feel is hall-of-fame unveiling. Cinematic stage lighting, atmospheric haze, 3:2 aspect ratio.","Profile card on pedestal under amber and blue spotlights with gold Superstars title on dark stage",begin,"The spotlights hold on the pedestal — amber from above, blue and gold flanking from the sides. The athlete profile card on the pedestal rotates slowly, catching different lights as it turns — stats and achievements shimmer. Star particles drift through the spotlight beams, creating lens flares. Atmospheric haze shifts in the beams. The 'SUPERSTARS' gold title at the bottom catches the rotating light, its metallic surface reflecting different colors. The card completes a slow rotation revealing the silhouette, stats, and MVP count. Hall-of-fame grandeur.","Black screen. A single amber spotlight snaps on from above, its beam cutting through atmospheric haze down to an empty dark stage. The pedestal rises from below. The athlete profile card materializes on it — flickering holographically, then stabilizing. Secondary spotlights in blue and gold fade in from the sides. Star particles begin drifting through the beams. 'SUPERSTARS' reveals with a gold metallic shimmer. The card begins its slow rotation. The full hall-of-fame stage scene composes."
travel-collection,Travel Collection,fun,"An overhead flat-lay of luxury travel artifacts on dark navy surface #0a0e1a — a leather passport holder, a vintage compass with amber #f59e0b needle glow, a pair of aviator sunglasses reflecting a tropical island, a boarding pass to somewhere exotic, a room key from a boutique hotel, and the corner of a linen map. Each object is lit by its own soft warm light source, creating individual pools of amber glow on the dark surface. Scattered gold foil dots add opulence. 'TRAVEL COLLECTION' is set in an elegant thin-weight serif with wide letter-spacing across the bottom, in cream white with gold accents. The mood is curated luxury, wanderlust. Editorial flat-lay photography, soft overhead lighting, 3:2 aspect ratio.","Luxury travel flat-lay with compass, passport, aviator sunglasses, boarding pass, and hotel key on dark surface",begin,"The flat-lay is composed — each luxury artifact subtly animates. The compass needle swings gently, its amber glow pulsing. The aviator sunglasses' beach reflection shimmers with palm tree sway. Gold foil dots sparkle and drift. The boarding pass corner lifts slightly as if caught by a breeze. The map edge curls. The hotel key tag sways. Each object's individual amber light pool breathes softly. The 'TRAVEL COLLECTION' title shimmers with a slow gold accent sweep across the serif letters. Wanderlust in motion, curated and luxurious.","Black screen from overhead. The dark navy surface fades in. A leather passport holder slides in from the top. A vintage compass drops gently into frame — its amber needle swings and settles. Aviator sunglasses slide in from the right reflecting a tropical scene. A boarding pass flutters down. A hotel room key lands with a soft metallic tap. Gold foil dots scatter across the surface. Each object's amber glow pool fades in as it arrives. 'TRAVEL COLLECTION' writes itself in thin serif at the bottom. Curated luxury assembled."
